MICHAEL,1,3476715,1151.12,1151.12,2747318,274177,18510,66408,99581,270721
JOHN,2,3125114,1034.71,2185.82,2589589,195759,15360,67811,69447,187148
JAMES,3,2996420,992.1,3177.92,2457719,289173,17331,44337,84626,103234
DAVID,4,2813019,931.37,4109.29,2149886,156379,13903,65917,67743,359191
ROBERT,5,2759332,913.6,5022.89,2281552,197710,14793,27114,65000,173163
WILLIAM,6,2240112,741.69,5764.58,1866221,153992,11959,31382,61725,114833
MARY,7,1768337,585.49,6350.06,1434886,164569,10651,26838,32402,98991
MARIA,8,1652964,547.29,6897.35,234934,21779,2369,41556,8443,1343883
DANIEL,9,1607193,532.13,7429.48,1078953,67007,7891,44475,41082,367785
JOSEPH,10,1600664,529.97,7959.45,1230026,113383,9798,37503,43677,166277
RICHARD,11,1575998,521.8,8481.25,1296376,82066,8721,29548,33784,125503
THOMAS,12,1506604,498.83,8980.08,1310638,70115,7241,24934,35273,58403
CHRISTOPHER,13,1499874,496.6,9476.68,1072790,145807,8273,31043,55768,186193
JENNIFER,14,1331080,440.71,9917.39,1030049,47629,6260,44931,40645,161566
MATTHEW,15,1315148,435.44,10352.83,1066314,39996,6193,29049,43484,130112
JOSE,16,1211107,400.99,10753.82,28145,5544,1358,12148,1134,1162778
CHARLES,17,1207975,399.95,11153.77,960218,153781,7561,14328,34997,37090
ELIZABETH,18,1206652,399.51,11553.28,890838,48933,5202,28136,31972,201571
PATRICIA,19,1189827,393.94,11947.23,923760,102689,5522,10869,21407,125580
LINDA,20,1164879,385.68,12332.91,960548,92983,5974,24222,23257,57895
MARK,21,1135543,375.97,12708.88,964950,57203,4915,21054,25958,61463
ANDREW,22,1075510,356.09,13064.98,817169,50757,4837,43984,35534,123229
ANTHONY,23,1075182,355.99,13420.96,581998,186337,7481,28215,36651,234500
KEVIN,24,1015224,336.13,13757.1,690306,108294,5188,52672,24974,133790
BRIAN,25,1011015,334.74,14091.84,810241,61348,4937,28600,24952,80937
SUSAN,26,979773,324.4,14416.24,896424,13726,3210,23903,16619,25891
STEVEN,27,972806,322.09,14738.33,787406,50450,5388,24498,23834,81230
JESSICA,28,957450,317.01,15055.33,644569,51376,5464,28176,34071,193794
BARBARA,29,943005,312.22,15367.55,795880,88936,4049,4781,15269,34090
JOSHUA,30,939718,311.13,15678.69,642325,85627,6646,27387,43383,134350
PAUL,31,907227,300.38,15979.07,746870,49779,4538,27033,19797,59210
JASON,32,898646,297.54,16276.6,679214,55876,6231,37804,32792,86729
KAREN,33,882585,292.22,16568.82,720135,53478,4010,19453,16054,69455
RYAN,34,874270,289.47,16858.29,699206,38772,4880,36371,32438,62603
SARAH,35,874127,289.42,17147.7,707633,38022,4403,28811,31484,63774
LISA,36,864251,286.15,17433.85,700424,59081,5228,21601,24080,53837
JACOB,37,805737,266.77,17700.63,603728,23280,5482,16711,33837,122699
TIMOTHY,38,802955,265.85,17966.48,675887,62009,4556,14281,22726,23496
SANDRA,39,780837,258.53,18225.01,538415,66899,3955,8765,14332,148471
NANCY,40,772570,255.79,18480.8,626905,17687,2618,20764,10131,94465
ERIC,41,767093,253.98,18734.78,511561,91952,4044,30949,21278,107309
MICHELLE,42,757102,250.67,18985.45,517730,68176,4917,36305,26067,103907
KENNETH,43,755676,250.2,19235.65,585511,100649,5123,15905,20280,28208
EMILY,44,755529,250.15,19485.8,571238,11419,3020,30059,23777,116016
ASHLEY,45,752328,249.09,19734.9,496957,79542,4650,15756,28585,126838
JEFFREY,46,735424,243.49,19978.39,639256,33124,2836,16702,16220,27286
JONATHAN,47,717216,237.47,20215.86,428458,56522,3691,30829,24666,173050
DONALD,48,715630,236.94,20452.8,618293,60074,4322,4940,15650,12351
NICHOLAS,49,711310,235.51,20688.31,551142,33733,3213,14012,27729,81481
AMANDA,50,698992,231.43,20919.74,557399,21099,4426,12357,24580,79131
KIMBERLY,51,696172,230.5,21150.24,506159,70415,4147,13041,21773,80637
RONALD,52,689835,228.4,21378.64,553799,78128,4664,11032,14772,27440
LAURA,53,679854,225.1,21603.73,505080,18562,2701,8209,14341,130961
MELISSA,54,675225,223.56,21827.29,498875,28194,4412,12239,20708,110797
JUSTIN,55,668566,221.36,22048.65,474615,60176,5365,29860,27899,70651
STEPHEN,56,665593,220.37,22269.03,575833,33012,2585,12355,16104,25704
STEPHANIE,57,657761,217.78,22486.81,435462,58571,3875,17815,19808,122230
GARY,58,656596,217.39,22704.2,574266,39868,4521,9220,13682,15039
SCOTT,59,655955,217.18,22921.38,611290,8120,2456,7145,14408,12536
JUAN,60,655686,217.09,23138.48,9943,7510,955,4878,761,631639
REBECCA,61,645355,213.67,23352.15,533727,17758,3692,12820,19013,58345
BRANDON,62,642617,212.77,23564.92,398572,91182,5641,21206,29436,96580
DONNA,63,635056,210.26,23775.18,558108,38132,3776,6676,14353,14011
GEORGE,64,631917,209.22,23984.4,461340,70484,3938,16756,14489,64910
AMY,65,625124,206.97,24191.38,525985,8808,2676,27665,14853,45137
DEBORAH,66,622212,206.01,24397.39,519324,60417,2838,4755,14437,20441
EDWARD,67,616125,204,24601.38,450977,63869,3484,17276,14124,66395
CAROL,68,614461,203.44,24804.83,545407,31176,3235,7847,9625,17171
BENJAMIN,69,606324,200.75,25005.58,447779,28257,2809,21618,23564,82297
ANGELA,70,600156,198.71,25204.29,382011,84524,3945,20491,19557,89628
CYNTHIA,71,597777,197.92,25402.21,415350,68037,3245,12921,13647,84577
SHARON,72,583753,193.28,25595.48,462967,76959,3705,13027,12660,14435
SAMUEL,73,566084,187.43,25782.91,353572,63349,3382,17885,19604,108292
ALEXANDER,74,556753,184.34,25967.25,330920,27131,2257,22399,28137,145909
PATRICK,75,551886,182.73,26149.97,448264,44684,3282,14654,15189,25813
MARGARET,76,549715,182.01,26331.98,472944,35276,2293,7463,9476,22263
KATHLEEN,77,547317,181.21,26513.19,507449,9084,1698,6966,8949,13171
NICOLE,78,544074,180.14,26693.33,381091,52997,3041,13415,21352,72178
